Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,0.770000,0.790000,0.760000,0.790000,0.790000,233700
2019-11-04,0.800000,0.800000,0.780000,0.800000,0.800000,431900
2019-11-05,0.790000,0.800000,0.770000,0.780000,0.780000,484500
2019-11-06,0.780000,0.790000,0.780000,0.780000,0.780000,290700
2019-11-07,0.790000,0.790000,0.760000,0.770000,0.770000,562600
2019-11-08,0.770000,0.770000,0.750000,0.760000,0.760000,397800
2019-11-11,0.750000,0.780000,0.750000,0.760000,0.760000,366800
2019-11-12,0.770000,0.790000,0.760000,0.780000,0.780000,618700
2019-11-13,0.780000,0.780000,0.760000,0.770000,0.770000,295000
2019-11-14,0.770000,0.790000,0.760000,0.770000,0.770000,255600
2019-11-15,0.770000,0.780000,0.770000,0.770000,0.770000,365800
2019-11-18,0.770000,0.780000,0.760000,0.770000,0.770000,164300
2019-11-19,0.760000,0.770000,0.750000,0.750000,0.750000,299600
2019-11-20,0.750000,0.760000,0.750000,0.750000,0.750000,438500
2019-11-21,0.740000,0.760000,0.740000,0.750000,0.750000,223700
2019-11-22,0.750000,0.750000,0.730000,0.740000,0.740000,225000
2019-11-25,0.730000,0.740000,0.700000,0.710000,0.710000,704600
2019-11-26,0.700000,0.710000,0.660000,0.680000,0.680000,846200
2019-11-27,0.680000,0.680000,0.590000,0.640000,0.640000,1623200
2019-11-29,0.630000,0.650000,0.630000,0.650000,0.650000,307300
2019-12-02,0.640000,0.700000,0.640000,0.670000,0.670000,388900
2019-12-03,0.690000,0.700000,0.670000,0.680000,0.680000,401500
2019-12-04,0.710000,0.710000,0.630000,0.650000,0.650000,499400
2019-12-05,0.670000,0.670000,0.630000,0.640000,0.640000,687200
2019-12-06,0.610000,0.630000,0.610000,0.630000,0.630000,569900
2019-12-09,0.640000,0.650000,0.610000,0.620000,0.620000,550500
2019-12-10,0.620000,0.630000,0.620000,0.630000,0.630000,228200
2019-12-11,0.630000,0.660000,0.620000,0.640000,0.640000,489100
2019-12-12,0.640000,0.680000,0.640000,0.670000,0.670000,593700
2019-12-13,0.700000,0.750000,0.680000,0.720000,0.720000,1185500
2019-12-16,0.720000,0.720000,0.690000,0.720000,0.720000,733200
2019-12-17,0.720000,0.720000,0.700000,0.700000,0.700000,318100
2019-12-18,0.700000,0.710000,0.680000,0.690000,0.690000,286800
2019-12-19,0.700000,0.700000,0.670000,0.680000,0.680000,488700
2019-12-20,0.670000,0.720000,0.660000,0.720000,0.720000,995000
2019-12-23,0.720000,0.740000,0.690000,0.690000,0.690000,843600
2019-12-24,0.700000,0.730000,0.700000,0.730000,0.730000,314900
2019-12-26,0.740000,0.800000,0.730000,0.770000,0.770000,915500
2019-12-27,0.770000,0.850000,0.750000,0.830000,0.830000,1942200
2019-12-30,0.880000,0.900000,0.830000,0.850000,0.850000,1529600
2019-12-31,0.850000,0.870000,0.830000,0.860000,0.860000,534100
2020-01-02,0.900000,0.900000,0.870000,0.870000,0.870000,568500
2020-01-03,0.870000,0.880000,0.840000,0.840000,0.840000,404900
2020-01-06,0.880000,0.880000,0.800000,0.830000,0.830000,606200
2020-01-07,0.810000,0.830000,0.800000,0.820000,0.820000,693800
2020-01-08,0.830000,0.830000,0.760000,0.760000,0.760000,763000
2020-01-09,0.760000,0.770000,0.750000,0.750000,0.750000,518500
2020-01-10,0.750000,0.800000,0.750000,0.780000,0.780000,464100
2020-01-13,0.780000,0.800000,0.760000,0.760000,0.760000,261900
2020-01-14,0.750000,0.770000,0.750000,0.760000,0.760000,260800
2020-01-15,0.760000,0.770000,0.750000,0.750000,0.750000,255300
2020-01-16,0.760000,0.770000,0.740000,0.750000,0.750000,355800
2020-01-17,0.750000,0.770000,0.750000,0.760000,0.760000,203200
2020-01-21,0.750000,0.770000,0.730000,0.740000,0.740000,380100
2020-01-22,0.730000,0.750000,0.730000,0.740000,0.740000,245300
2020-01-23,0.740000,0.760000,0.730000,0.750000,0.750000,295500
2020-01-24,0.740000,0.770000,0.730000,0.750000,0.750000,789200
2020-01-27,0.740000,0.770000,0.730000,0.740000,0.740000,261300
2020-01-28,0.800000,0.820000,0.770000,0.790000,0.790000,1288600
2020-01-29,0.800000,0.810000,0.780000,0.790000,0.790000,672700
2020-01-30,0.820000,0.820000,0.780000,0.800000,0.800000,1141300
2020-01-31,0.810000,0.810000,0.780000,0.790000,0.790000,764100
2020-02-03,0.800000,0.800000,0.770000,0.770000,0.770000,967800
2020-02-04,0.760000,0.770000,0.760000,0.760000,0.760000,440500
2020-02-05,0.760000,0.780000,0.760000,0.770000,0.770000,289900
2020-02-06,0.770000,0.780000,0.760000,0.780000,0.780000,249000
2020-02-07,0.780000,0.780000,0.750000,0.760000,0.760000,397300
2020-02-10,0.760000,0.760000,0.750000,0.750000,0.750000,366500
2020-02-11,0.750000,0.760000,0.750000,0.750000,0.750000,425900
2020-02-12,0.750000,0.750000,0.750000,0.750000,0.750000,183100
2020-02-13,0.750000,0.760000,0.740000,0.740000,0.740000,495700
2020-02-14,0.750000,0.750000,0.730000,0.730000,0.730000,356900
2020-02-18,0.740000,0.760000,0.730000,0.750000,0.750000,565000
2020-02-19,0.760000,0.760000,0.730000,0.740000,0.740000,712200
2020-02-20,0.740000,0.750000,0.730000,0.730000,0.730000,403600
2020-02-21,0.740000,0.740000,0.730000,0.730000,0.730000,733300
2020-02-24,0.750000,0.750000,0.700000,0.700000,0.700000,1082700
2020-02-25,0.700000,0.700000,0.650000,0.660000,0.660000,845400
2020-02-26,0.720000,0.720000,0.620000,0.630000,0.630000,7513700
